wavelength,EBFP ex,EBFP em
325,0.2807,
326,0.2873,
327,0.2947,
328,0.3025,
329,0.3117,
330,0.3213,
331,0.3317,
332,0.3429,
333,0.3549,
334,0.3677,
335,0.3804,
336,0.3939,
337,0.4085,
338,0.4227,
339,0.4376,
340,0.4533,
341,0.4697,
342,0.4873,
343,0.5032,
344,0.5222,
345,0.5394,
346,0.5574,
347,0.5763,
348,0.5938,
349,0.6121,
350,0.6307,
351,0.6492,
352,0.668,
353,0.6859,
354,0.7041,
355,0.7234,
356,0.7417,
357,0.7607,
358,0.7804,
359,0.8046,
360,0.8313,
361,0.8564,
362,0.871,
363,0.872,
364,0.8775,
365,0.8881,
366,0.9052,
367,0.9209,
368,0.936,
369,0.9466,
370,0.9548,
371,0.9617,
372,0.9672,
373,0.9733,
374,0.9796,
375,0.984,
376,0.9885,
377,0.9934,
378,0.9977,
379,0.9997,
380,1.0,0.0046
381,0.9992,0.0044
382,0.998,0.0042
383,0.9917,0.0087
384,0.9844,0.0102
385,0.9716,0.0149
386,0.9569,0.0144
387,0.9396,0.0266
388,0.9186,0.0278
389,0.8957,0.0377
390,0.8728,0.0455
391,0.8489,0.0663
392,0.8245,0.0761
393,0.7987,0.0977
394,0.7755,0.1235
395,0.7522,0.1477
396,0.7299,0.1843
397,0.7093,0.2176
398,0.6871,0.2538
399,0.6648,0.2873
400,0.6432,0.3294
401,0.6212,0.3746
402,0.5981,0.4115
403,0.5737,0.4444
404,0.5472,0.4734
405,0.5181,0.5151
406,0.4881,0.5273
407,0.4565,0.5644
408,0.4245,0.5843
409,0.3909,0.6075
410,0.3583,0.625
411,0.3262,0.6531
412,0.2957,0.6623
413,0.2677,0.6754
414,0.2414,0.6946
415,0.2188,0.7119
416,0.1984,0.7322
417,0.181,0.7478
418,0.1669,0.7467
419,0.1552,0.7675
420,0.1452,0.7795
421,0.1363,0.7965
422,0.1275,0.7964
423,0.1226,0.8195
424,0.1175,0.8268
425,0.1135,0.837
426,,0.8552
427,,0.871
428,,0.8743
429,,0.889
430,,0.9029
431,,0.9328
432,,0.9304
433,,0.9525
434,,0.959
435,,0.9652
436,,0.9715
437,,0.9883
438,,0.9956
439,,0.9982
440,,1.0
441,,0.9973
442,,0.9979
443,,0.9979
444,,0.9852
445,,0.9855
446,,0.9646
447,,0.9684
448,,0.9551
449,,0.9438
450,,0.9319
451,,0.922
452,,0.9106
453,,0.8907
454,,0.8962
455,,0.8685
456,,0.8628
457,,0.8463
458,,0.8285
459,,0.8099
460,,0.8045
461,,0.7697
462,,0.7581
463,,0.7505
464,,0.7291
465,,0.7068
466,,0.6923
467,,0.6685
468,,0.6595
469,,0.632
470,,0.6253
471,,0.5991
472,,0.5779
473,,0.5587
474,,0.5373
475,,0.5243
476,,0.5009
477,,0.4842
478,,0.4679
479,,0.4632
480,,0.4408
481,,0.423
482,,0.4161
483,,0.3997
484,,0.3821
485,,0.3703
486,,0.3635
487,,0.3493
488,,0.3389
489,,0.3393
490,,0.3209
491,,0.3165
492,,0.303
493,,0.298
494,,0.2884
495,,0.28
496,,0.2719
497,,0.2656
498,,0.2538
499,,0.2471
500,,0.242
501,,0.2301
502,,0.2271
503,,0.2214
504,,0.2108
505,,0.2087
506,,0.2017
507,,0.1953
508,,0.1913
509,,0.1844
510,,0.1766
511,,0.1734
512,,0.1708
513,,0.1653
514,,0.1621
515,,0.1507
516,,0.1498
517,,0.1441
518,,0.1374
519,,0.1343
520,,0.1342
521,,0.1281
522,,0.1205
523,,0.1231
524,,0.1165
525,,0.1122
526,,0.109
527,,0.1078
528,,0.1023
529,,0.0979
530,,0.0955
531,,0.0938
532,,0.0921
533,,0.0881
534,,0.0851
535,,0.0821
536,,0.0782
537,,0.0786
538,,0.0745
539,,0.0759
540,,0.0702
