wavelength,iRFP670 ex,iRFP670 em
535,0.1375,
536,0.1379,
537,0.1384,
538,0.1396,
539,0.1411,
540,0.1429,
541,0.1451,
542,0.1475,
543,0.1501,
544,0.153,
545,0.1562,
546,0.16,
547,0.1643,
548,0.1692,
549,0.1748,
550,0.1809,
551,0.1873,
552,0.1938,
553,0.2005,
554,0.2072,
555,0.2139,
556,0.2206,
557,0.2275,
558,0.2343,
559,0.2411,
560,0.2477,
561,0.2541,
562,0.2604,
563,0.2666,
564,0.2729,
565,0.2795,
566,0.2865,
567,0.2941,
568,0.3022,
569,0.3109,
570,0.3201,
571,0.33,
572,0.3404,
573,0.3513,
574,0.3622,
575,0.3731,
576,0.3836,
577,0.3937,
578,0.4032,
579,0.4124,
580,0.4213,
581,0.4303,
582,0.4394,
583,0.4487,
584,0.4582,
585,0.4677,
586,0.4772,
587,0.4864,
588,0.4952,
589,0.5038,
590,0.5123,
591,0.5209,
592,0.53,
593,0.5399,
594,0.5505,
595,0.5617,
596,0.5733,
597,0.5845,
598,0.5949,
599,0.6041,
600,0.6119,
601,0.6183,
602,0.624,
603,0.6292,
604,0.6347,
605,0.6409,
606,0.6478,
607,0.6557,
608,0.6642,
609,0.6732,
610,0.6824,
611,0.6915,
612,0.7006,
613,0.7098,
614,0.7193,
615,0.7294,
616,0.7404,
617,0.7523,
618,0.7651,
619,0.7788,
620,0.7928,
621,0.8069,
622,0.8208,
623,0.8341,
624,0.8467,
625,0.8586,
626,0.8699,
627,0.8808,
628,0.8915,
629,0.902,
630,0.9125,0.0789
631,0.9228,0.0806
632,0.9329,0.0852
633,0.9428,0.0916
634,0.9523,0.1001
635,0.9613,0.11
636,0.9698,0.1211
637,0.9777,0.1332
638,0.9848,0.1466
639,0.9907,0.1612
640,0.9953,0.1772
641,0.9985,0.1944
642,1.0,0.2132
643,0.9999,0.2334
644,0.9982,0.2552
645,0.9948,0.2788
646,0.9899,0.3041
647,0.9831,0.3311
648,0.9746,0.3598
649,0.9639,0.3901
650,0.9512,0.4221
651,0.9364,0.4556
652,0.9195,0.4904
653,0.9009,0.5263
654,0.8807,0.563
655,0.859,0.6001
656,0.8361,0.6375
657,0.8118,0.6749
658,0.7857,0.712
659,0.7578,0.7486
660,0.7275,0.7843
661,0.695,0.8187
662,0.6603,0.8513
663,0.6241,0.8816
664,0.5869,0.909
665,0.5497,0.9331
666,0.5134,0.9537
667,0.4785,0.9705
668,0.4455,0.9835
669,0.4147,0.9927
670,0.3862,0.9981
671,0.36,1.0
672,0.3359,0.9984
673,0.3139,0.9934
674,0.2936,0.9855
675,0.2748,0.9747
676,0.2572,0.9614
677,0.2408,0.9461
678,0.2253,0.929
679,0.2107,0.9105
680,0.1971,0.891
681,0.1844,0.8709
682,0.1726,0.8502
683,0.1616,0.8292
684,0.1512,0.8079
685,0.1414,0.7864
686,0.1319,0.7648
687,0.1226,0.7435
688,0.1137,0.7226
689,0.1049,0.7024
690,0.0966,0.6831
691,0.0887,0.6644
692,0.0814,0.6465
693,0.0747,0.6291
694,0.0686,0.6125
695,0.0631,0.5966
696,0.0582,0.5817
697,0.0537,0.5676
698,0.0498,0.5544
699,0.0463,0.5419
700,0.0435,0.5298
701,0.0413,0.5179
702,0.0398,0.5062
703,,0.4949
704,,0.4838
705,,0.4733
706,,0.4634
707,,0.454
708,,0.4452
709,,0.4369
710,,0.429
711,,0.4212
712,,0.4135
713,,0.4059
714,,0.3984
715,,0.3911
716,,0.3844
717,,0.3781
718,,0.3724
719,,0.367
720,,0.3619
721,,0.357
722,,0.3522
723,,0.3474
724,,0.3427
725,,0.3381
726,,0.3335
727,,0.3291
728,,0.3248
729,,0.3207
730,,0.3168
731,,0.313
732,,0.309
733,,0.305
734,,0.3009
735,,0.2967
736,,0.2925
737,,0.2884
738,,0.2844
739,,0.2802
740,,0.2759
741,,0.2714
742,,0.2668
743,,0.2622
744,,0.2576
745,,0.2531
746,,0.2487
747,,0.2443
748,,0.2397
749,,0.2349
750,,0.2299
751,,0.2248
752,,0.2196
753,,0.2143
754,,0.209
755,,0.2037
756,,0.1987
757,,0.194
758,,0.1896
759,,0.1853
760,,0.181
761,,0.1764
762,,0.1715
763,,0.1663
764,,0.1611
765,,0.1558
766,,0.1508
767,,0.1461
768,,0.1417
769,,0.1377
770,,0.134
771,,0.1304
772,,0.127
773,,0.1235
774,,0.1201
775,,0.1169
776,,0.1139
777,,0.1112
778,,0.1086
779,,0.1062
780,,0.1037
781,,0.1012
782,,0.0986
783,,0.0961
784,,0.0937
785,,0.0914
786,,0.0893
787,,0.0872
788,,0.0852
789,,0.0832
790,,0.0813
791,,0.0795
792,,0.0778
793,,0.0762
794,,0.0746
795,,0.073
796,,0.0713
797,,0.0698
798,,0.0686
799,,0.0676
800,,0.0673
