wavelength,mAzamiGreen ex,mAzamiGreen em
350,0.0033,
351,0.0035,
352,0.0035,
353,0.0037,
354,0.0037,
355,0.0039,
356,0.004,
357,0.0041,
358,0.0043,
359,0.0044,
360,0.0046,
361,0.0048,
362,0.0051,
363,0.0053,
364,0.0054,
365,0.0056,
366,0.006,
367,0.0061,
368,0.0065,
369,0.0067,
370,0.007,
371,0.0073,
372,0.0077,
373,0.0078,
374,0.0081,
375,0.0084,
376,0.0087,
377,0.0089,
378,0.0094,
379,0.0095,
380,0.0102,
381,0.0103,
382,0.0107,
383,0.0112,
384,0.0115,
385,0.0121,
386,0.0126,
387,0.0131,
388,0.0136,
389,0.0144,
390,0.0148,
391,0.0156,
392,0.0164,
393,0.017,
394,0.0178,
395,0.0187,
396,0.0196,
397,0.0204,
398,0.0215,
399,0.0224,
400,0.0237,
401,0.0249,
402,0.0262,
403,0.0277,
404,0.0289,
405,0.0306,
406,0.0324,
407,0.0338,
408,0.0355,
409,0.0374,
410,0.0396,
411,0.0413,
412,0.0438,
413,0.0464,
414,0.0487,
415,0.0516,
416,0.0545,
417,0.0576,
418,0.0606,
419,0.0643,
420,0.0676,
421,0.0715,
422,0.0756,
423,0.0806,
424,0.0855,
425,0.0903,
426,0.0953,
427,0.1013,
428,0.1066,
429,0.1127,
430,0.1194,
431,0.1249,
432,0.1327,
433,0.1401,
434,0.1478,
435,0.1554,
436,0.1628,
437,0.1714,
438,0.1801,
439,0.1894,
440,0.199,
441,0.2095,
442,0.221,
443,0.2333,
444,0.2465,
445,0.2601,
446,0.2749,
447,0.2906,
448,0.3078,
449,0.3225,
450,0.3387,
451,0.3543,
452,0.3726,
453,0.3911,
454,0.4114,
455,0.4306,
456,0.4499,
457,0.4669,
458,0.4831,
459,0.4984,
460,0.5123,
461,0.5236,
462,0.5337,
463,0.5444,
464,0.5503,
465,0.5564,
466,0.561,
467,0.5648,
468,0.5669,
469,0.5707,
470,0.5758,0.0037
471,0.581,0.0043
472,0.5877,0.005
473,0.5953,0.0061
474,0.6046,0.0073
475,0.6176,0.0089
476,0.6331,0.0109
477,0.6527,0.0136
478,0.6741,0.0169
479,0.6981,0.0215
480,0.7231,0.0273
481,0.747,0.0337
482,0.7737,0.0424
483,0.8033,0.0522
484,0.8342,0.0649
485,0.8647,0.0812
486,0.8974,0.1008
487,0.9275,0.1236
488,0.9557,0.1528
489,0.9771,0.1886
490,0.992,0.2286
491,1.0,0.2743
492,0.9975,0.3258
493,0.987,0.3852
494,0.9655,0.4474
495,0.9359,0.5129
496,0.8945,0.5815
497,0.8468,0.6527
498,0.7916,0.7218
499,0.73,0.7868
500,0.6659,0.844
501,0.5972,0.8966
502,0.5308,0.9399
503,0.4661,0.9737
504,0.406,0.9902
505,0.3511,1.0
506,0.3001,0.9983
507,0.2547,0.9837
508,0.2147,0.9648
509,0.1795,0.9341
510,0.1511,0.8998
511,0.125,0.8601
512,0.1038,0.8192
513,0.086,0.7776
514,0.0715,0.7364
515,0.0591,0.6966
516,0.0484,0.6594
517,0.0396,0.6223
518,0.0325,0.5891
519,0.0269,0.5579
520,,0.5272
521,,0.4991
522,,0.4749
523,,0.4522
524,,0.4318
525,,0.4133
526,,0.3963
527,,0.3814
528,,0.366
529,,0.353
530,,0.3413
531,,0.3303
532,,0.3215
533,,0.3127
534,,0.3042
535,,0.2961
536,,0.2884
537,,0.2796
538,,0.2714
539,,0.2633
540,,0.2549
541,,0.2467
542,,0.2361
543,,0.228
544,,0.219
545,,0.2087
546,,0.1987
547,,0.1896
548,,0.1791
549,,0.1694
550,,0.1596
551,,0.1508
552,,0.1417
553,,0.1328
554,,0.1247
555,,0.1172
556,,0.11
557,,0.1032
558,,0.097
559,,0.0908
560,,0.0848
561,,0.0799
562,,0.0753
563,,0.0712
564,,0.0666
565,,0.0629
566,,0.0591
567,,0.056
568,,0.0529
569,,0.0496
570,,0.0469
571,,0.0445
572,,0.0422
573,,0.04
574,,0.0379
575,,0.036
576,,0.0341
577,,0.0329
578,,0.031
579,,0.0294
580,,0.0282
581,,0.0266
582,,0.0255
583,,0.0243
584,,0.0231
585,,0.0219
586,,0.0208
587,,0.0198
588,,0.0188
589,,0.0177
590,,0.0169
591,,0.016
592,,0.0151
593,,0.0142
594,,0.0135
595,,0.0128
596,,0.0121
597,,0.0114
598,,0.0108
599,,0.01
